rownames.localDgxTable..whichVec.	Score
E2F1	2.48214677521034
EAF1	-4.44170646932149
EDEM1	4.11969479475367
EIF3J	-3.82647188020215
EIF5	-2.80518615091242
ELOVL7	-2.83741697578093
ENOX1	-3.10907732003814
EPS15L1	-2.55387874646072
ESCO2	2.5839751706054
ESYT1	2.66848759169087
EXOC1	-2.69681769437388
EZH1	-2.4187860689573
FABP3	2.85466778284976
FADS2	4.40791893079655
FAM118A	2.31540624342023
FAM120B	-3.47600437342761
FAM134B	2.48201551459065
FAM213A	4.20262115399207
FAM214B	-3.6879048289954
FAM69A	8.78501169023718
FBXL5	3.64324971452797
FBXO28	-4.9088216055577
FBXO31	-4.57769765847298
FBXW7	-4.7262146124789
FCHSD2	-3.55166037717737
FDXR	3.42034767156831
FEM1A	-2.42778216397112
FGF2	-2.39623456595017
FGFR1	-3.95406600376599
FGFRL1	-2.90587908954358
FOXD2	3.9815015659927
FOXK2	-3.31436736441121
FOXM1	3.08217867498516
FTMT	-2.67843084401802
GADD45A	3.40679619561574
GLG1	-2.52646511856402
GLIS2	-3.86572248559636
GLMP	2.3648854209129
GLTSCR1	-2.7528590221805
GMDS	2.70480310265598
GNAI1	3.05410021060113
GNAL	-2.61925448266913
GNG11	-2.79488620177542
GNPDA2	-4.56517580641865
GOSR1	-4.48006444860198
GPM6B	-2.83597766492721
GTPBP10	-4.3206590387638
GTSE1	2.57823673437759
HDHD3	5.93756308886009
HEATR3	-3.90940241842527
HEXIM1	-2.47924882615776
HIBADH	6.27931240113434
HIBCH	3.58511199455032
HIP1	3.41106544071996
HIST3H2A	-3.05848157309097
HLA-DQB1	4.24651807094988
HMGXB3	-2.66466362710466
HSPA14	2.49539672338303
HSPA2	3.99957458549771
HTR2A	7.30285977229737
ICAM5	-2.70087930005319
IFT80	2.22148374592968
IGSF1	9.14686078820602
IL10RA	3.87697259205501
IL2RG	2.9028191034671
INADL	-6.53110020878765
ING5	-3.00468889643785
IPO8	-2.99438292618276
IQGAP3	3.66576985674309
IRAK3	2.52712250690172
ITGA2	-2.54116832434176
ITGB1BP2	2.94645595524397
JARID2	-2.5183278974397
KCNG1	-2.52781606598361
KCNIP2	3.49433069789494
KDELC1	3.15106965350553
KIAA0040	4.00994283387845
KIAA0101	2.42329470866381
KIAA0355	-5.54332840314683
KIF20B	3.01151572611589
KIF2C	2.90102870253762
KITLG	-4.34947453527602
KNTC1	2.35522467377112
LGALS3BP	5.8010124067376
LILRB2	4.59297199087334
LIN7A	2.95090922860074
LMAN2L	2.31762849979672
LPCAT2	3.53438648809479
LPCAT3	7.52313587492761
LRG1	2.73117902705984
LRIF1	-2.4727842123198
LRMP	3.07524087164448
LRP5	2.9605979215211
LRRC20	2.23859188447853
LRRC75A	-2.39868477001544
LUC7L	-4.3395502465531
MAGED1	4.39109451395709
MAML2	-2.92006401599173
MAP3K4	-4.06337629460014
MAST4	-3.52530617858038
MBD5	-2.59114465266546
MCM2	3.67949809242156
MCM3	2.82324674960785
MCOLN2	5.21967457411073
MDM4	-3.22980541381858
MED23	-2.48741732386059
MELK	3.40824434988316
MEPCE	-3.86955112853377
METTL7B	3.39542067557277
MFSD6	2.76054343144601
MKS1	2.77727533963323
MOB3C	-3.49361740104915
MOCOS	2.38100370071693
MORC2	-5.01004347682336
MORC4	2.24339491106309
MPP5	-3.0189295412343
MRPL14	-4.76051348515834
MRTO4	-2.94028641524261
MSRB2	2.86378220084251
MYCBP2	-2.53081027907719
MYEF2	2.3708962422223
MYL9	3.09367156416861
MYSM1	-3.37262678228957
NAA11	-5.03754011339204
NAA30	-4.21205620111001
NAAA	4.27661696626157
NAV3	-3.08433510616549
NCAPD2	2.94684388378779
NCOA1	-2.40383836585864
NEK2	3.57652503275891
NFE2L2	-4.13920045244882
NGRN	-3.71165596107315
NMNAT1	-2.528745893797
NOV	2.239555660939
NPR1	-2.41329956203747
NPRL3	-5.24423577635072
NPTX2	4.19756857638178
NR2F1	-5.09413519928356
NR3C1	-5.11035966375127
NRP1	-2.98714036358997
NT5E	-5.54361377299744
NTS	2.22056569820823
NUDT1	5.32769334337671
NUF2	2.192319383575
NUMB	-2.88295900156496
NUPL1	-2.52953419074457
NUPR1	4.70312449927239
PACRGL	-2.85678183681294
PAK1	2.94042836826098
PALM	2.59899123497906
PAPD7	-3.85662544827333
PARPBP	2.34779510631898
PBK	3.20154444688605
PBLD	5.10052111995398
PCDH7	2.3167421933292
PCGF3	-4.29317958210625
PDE1B	3.7856317996984
PDSS1	4.08785344410792
PENK	2.89407142967308
PER1	-5.1408266548891
PER2	-5.9687674219781
PIAS2	2.49873927971854
PIDD1	3.34843785321267
PIGQ	2.20086307085565
PIGU	2.43762748383971
PIK3R1	2.29031896736475
PIK3R2	-5.83817735228766
PIPOX	2.66530638924798
pk	-3.85066160479638
PLBD1	3.20010068755466
PLK4	3.25227662146695
POC1A	3.51598953361583
POLA1	2.19614762052008
POLL	2.30412645358663
POLR1B	-2.65023145330072
POMGNT1	-3.51527756825615
PPFIBP1	-4.51205651649757
PPIG	-5.3568045357614
PPP1R12C	-5.25398096335134
PPP1R15B	-3.17592313554847
PPP1R3C	4.74345247926525
PPP3CC	-2.6690323880097
PRIM1	2.90670635983319
PRKCB	3.04755556251543
PRKRIP1	-3.03452015566003
PRR5	3.3056823883242
PSME4	-2.81461911423075
PTK2	-3.27690136752259
PTPN21	-6.4045836303381
PZP	-3.37273317317982
QTRTD1	-3.70627836870375
RAB12	-2.82428212615898
RAB33A	5.46212824036686
RABEP2	-3.27899163289312
RABL2B	-3.85258624950891
RAD51AP1	2.2824312590869
RAPH1	-6.34709579538432
RASD2	-4.59066751586435
RASGRP1	3.05475304954678
RBL1	2.4691636780544
RBM26	-2.52916648564348
RCAN3	3.64860618273873
REXO4	-5.51125137547895
RFC4	3.02844963977999
RGMB	-3.44827977230894
RIPK3	2.73024561850944
RNASE1	2.86525496506531
RNF139	-5.65357485450758
RNF144A	2.34796505609109
RNF214	-3.64902304300007
RNF26	5.36332987513818
RRM2	2.61247089361713
S100PBP	4.37070392843256
SAPCD2	3.49940895138541
SCPEP1	5.72093497093234
SDC2	-2.70465539894695
SECISBP2	-3.70172339799318
SEPT3	3.17859040992449
SERAC1	-3.79801081366512
SERPINB9	2.86466768571469
SETD1B	-5.21005491530893
SETDB2	5.38468034792727
SFSWAP	-3.98457520491844
SGSM2	-4.80615574966795
SKA1	2.74364564006029
SKP2	3.30412061201577
SLC25A4	4.08003680823671
SLC2A10	3.65039054656159
SLC31A1	-3.8937372389055
SLC35E3	2.27089404170777
SLC40A1	3.65119437765992
SLC41A3	5.40697718703183
SLC43A1	3.42502771986014
SLC4A8	-4.69758366514445
SMAD7	-4.19686080187634
SMAP1	-3.18869265012324
SMYD2	2.77247336411861
SNAPC4	-2.48477140310821
SNX20	2.61855286462748
SNX4	4.71800006840365
SNX7	3.46409880690138
SON	-2.85769078718438
SPATA17	-2.4101137739161
ST7L	-3.34570403976939
STAG3	3.98586078895991
STIL	3.65507747135348
STX1A	-2.5740223906649
STX2	-5.14625243050508
SUCLA2	2.53801623014899
SYNE3	4.99907178942862
SYNPO	4.86675369361278
SYT12	-3.85121423769227
SYTL4	4.38984100945874
TAB2	-5.11144416284731
TACC3	2.49339983585694
TAF3	-4.57481734649575
TBC1D30	-2.76361316023701
TBC1D31	3.71315095783545
TFCP2	-5.80793809377946
TFPI	-2.68590787765328
THOC2	-4.48949532428239
TLE6	2.57882050487759
TLN1	-3.05808481172646
TM7SF2	2.869117905075
TMEM41A	-2.98637997205584
TMEM54	2.52506719933128
TMEM57	-2.85884374659746
TMEM9	3.88223799113819
TMTC1	-3.68207878246134
TNFSF9	3.34011883044393
TNIK	-2.63600566624531
TNNI3	8.83811890259006
TPST1	-3.83818077863844
TPX2	3.5181018183481
TRA2A	-2.41620974822929
TRAF3	-3.13379184136202
TRAF3IP2	-4.33063345666839
TRAF7	-3.23681601563997
TRIM56	-3.74912125158714
TRMT44	-3.17791313659856
TXLNG	-4.97569387815574
TXNL4B	-3.0752601086711
UBE2C	3.86199042113531
UBE2E2	-3.68715851765895
UBE3B	-3.8700035700346
USP9X	-4.64014771498308
UTP14A	-3.82562216069893
UVSSA	-2.46443300860221
VAT1L	2.99807776959038
VAV2	2.91135882066353
VEGFC	-3.56258058783209
VPS41	-3.34797545324216
VPS4B	-3.83431051767211
VSIG4	3.09590051607452
VTI1A	-3.50949244717033
WDR47	-4.33672233621679
WDR91	9.95576878735744
XRCC3	3.38734438032404
ZC3H4	4.13740162496862
ZDHHC17	-4.14118370423362
ZFHX3	-2.60191101058465
ZMAT3	-2.41461432297008
ZNF276	-5.26302392819829
ZNF280D	-2.6008459254075
ZNF354A	-4.01956650312642
ZNF654	-2.46895286661701
ZNF697	-5.35605235046267
ZNF707	-3.74547969809961
ZNF746	-6.29020000880714
ZSCAN29	-3.11919274022254
ZXDB	-6.10726978116654
