logFC	P.Value
COBL	0.0173303201010055	0.113033599973994
ADGRL3	-0.0325223257859415	0.121007547606326
SYNE1	0.0506196806867583	5.03944399062846e-05
SRGAP2	0.0189067561257588	0.0421622395142119
CBX7	0.0141286627255943	0.133741615150338
HYAL4	0.0117301026554144	0.519359293170611
CARHSP1	0.00767616989029563	0.389506700217521
PDSS1	-0.0125046712791552	0.409002669007408
SLC7A11	0.0361280786913722	0.0215406713825291
IFI6	-0.0185532287267947	0.322890785174542
PHYHD1	-0.0072075585323006	0.553957389001481
RAI14	-0.00292711159959769	0.777792445880824
ARHGEF26	0.0136340912815958	0.210596967346785
KLK13	0.0245504704230077	0.260188710321033
GATA3	0.0150336766827008	0.188064077108312
EHF	0.00216622303738445	0.903948351667761
IL36RN	0.0755101142305548	1.61695635373229e-05
GJB2	0.00476820667769395	0.737454061820743
LAMP3	0.0103293179707671	0.631501632126331
IL37	0.053950781566888	0.0108959265649569
TNFRSF21	-0.0279639902746305	0.0862744035670664
ADAMDEC1	0.0219311713775734	0.403431060515581
GM2A	0.0244806933878206	0.0226618146193266
SLCO3A1	0.0194888824449975	0.0289044597051993
ANG	-0.0212811479617274	0.131552258200724
KLK9	0.105562281241141	1.36416520430953e-09
RGMB	-0.0256363624286453	0.141775848236473
KRT6C	0.0255422251108044	0.603738279294632
AAMDC	0.0218649893826699	0.00761947031006987
STXBP6	0.0130882014522538	0.377000706965166
CD274	-0.0197421805478863	0.203311973616062
CXCL1	-0.0121012188150211	0.677254559483643
CXCL2	-0.0462032947182043	0.1137821304889
GSTA3	0.0164780569314962	0.407845152316532
EEF2K	0.0210993296537936	0.0479918648534751
GZMB	-0.00499494673136791	0.822183977002783
HOXC6	-0.00906903517485036	0.427527057012838
HSD11B1	-0.0416100669136847	0.0676921610949703
HSPA2	0.0289167927234248	0.00218791827730564
S100A7A	0.075346097278973	0.00919246364859566
PRSS53	0.0370170529067342	0.0664274972997415
ACADL	0.00263203787022981	0.827554825501212
ID4	0.0263613104651919	0.0339784075167686
BEX5	-0.0205516134047614	0.112198827374825
IFI27	0.039422025134459	0.0108270462828484
CXCL8	-0.0126386897643682	0.750384289570029
CXCR2	0.0425351956947964	0.0561894744721396
IDO1	-0.0168943646575768	0.305506141843007
CXCL10	0.0576279845558578	0.0644916840228149
IRF7	-0.00459248782361987	0.783666146998552
ISG20	-0.00012280004944909	0.993254741785
AQP9	0.0287237259441917	0.139639735830163
KRT77	-0.00986607094266079	0.595895645897619
IGFL1	0.0693918944598835	0.00174709746583626
SFT2D2	0.0151360169264172	0.366632833885189
FAM228B	-0.0168899564781912	0.18981736259285
KCNJ15	-0.0282538311802911	0.0618721027751202
KIT	-0.000233059731157059	0.979719758899024
KLRB1	-0.0345734773107775	0.0994162803814558
KRT15	-0.00776697011818239	0.598549302168047
KRT16	-0.00223637731125015	0.927663091017501
C10orf99	0.232591391167027	6.2779539298865e-15
FIBIN	0.00346057693595814	0.836368367328204
C5orf46	0.0269673924754241	0.126685256518441
LAMTOR4	0.0367874508554888	0.000123437011204574
LCN2	-0.00840179659719631	0.787617381415404
LEPR	0.0303207231703086	0.215729205773567
LIFR	0.00358392815446607	0.84003048749236
LRP4	0.0151417452572908	0.259082278207341
LTF	-0.0656175743556355	0.0345882201336134
MXD1	0.00473610228269505	0.771795234015785
MAP1B	-0.0165401141867574	0.201241646071644
MCC	0.00901299466986893	0.224733815282921
ARSF	0.0263338912318134	0.0850825732984936
CXCL9	0.0609845486435048	0.0404934442476256
NR3C2	-0.0412942445455009	0.0155440201611021
MMP12	0.0132113954143347	0.733564920629663
FAM26F	-0.0385935503580397	0.0449994574133331
MSMB	-0.0129826630774517	0.703323255429553
MX1	-0.0149689003321933	0.373242534798574
NAP1L2	0.0150800146837646	0.365757189819315
ATP12A	-0.0120053510685598	0.588127469266213
PNP	-0.0190352635803084	0.191637640118717
OAS1	-0.0201063274899616	0.370108635631341
OAS2	0.0113751739372416	0.586922447657928
OAS3	0.0105630144312028	0.50246096951607
CHAC2	-0.0168986098386052	0.435259720971035
ATL1	0.000872297174829395	0.930769113549104
PLLP	0.0233074930034993	0.0963491487749333
ZNF706	0.0195769284205376	0.0433222296936615
NRN1	-0.00662604383363519	0.644965914279322
RHCG	-0.0475978699214075	0.0485335394251881
PHYH	-0.0111456388646269	0.21662990819585
PI3	0.086587171265823	0.00143642719921487
SERPINB13	0.0363348796048402	0.0452467360498707
PIK3C2G	-0.00753375106207033	0.612187828229624
PLCB4	-0.0504591215128443	0.0449620660511268
FAM134B	-0.00882679642149231	0.498072694364721
SAMD9	0.000719253199251479	0.971404067304012
HERC6	0.0100586591719538	0.595011637326366
TMEM255A	-0.00599200347286111	0.829345483793328
CEP55	0.0117248863600836	0.580087358660604
VNN3	0.0363316808702585	0.0101577564180396
SLC22A15	-0.0188599458750702	0.172069668604677
SOX6	0.0291327577787026	0.0107162223136327
CHRNA9	0.0204355689573101	0.377402475307176
SYBU	-0.0389764898531282	0.00215510399231084
FLVCR2	0.013337296013415	0.226942720845617
FRMD4A	0.0118796817619953	0.22379513991543
DEPDC1B	0.00152316969570587	0.933204956958388
ADAP2	0.0219922375810566	0.0281202052978534
PBK	0.0495215552986705	0.0205935608563455
PRKCQ	-0.0160975388783564	0.227125226944241
PDGFC	-0.0296666002436448	0.0081648085268124
IL36G	0.126232151850616	6.80154375535733e-07
KLK6	-0.0517892421032977	0.150119504909824
KLK10	0.023928342233245	0.162255638052669
TMPRSS4	0.0140653181016726	0.41175813913192
ARNTL2	0.0538520115493526	0.000103903362547731
C14orf132	0.00696692505569807	0.633510028558004
CTNNBIP1	0.0314311598106789	0.00304680100350999
AKR1B10	0.124344431389399	1.77245620940312e-05
TIGAR	0.0241531219866977	0.234237428625329
PELI2	-0.049186017533279	0.000143310720128304
ANKRD50	0.00535445867975826	0.540997955260136
FAM234B	-0.014315174485716	0.199339322673798
PCDHB16	-0.0287708092540706	0.179145810202745
BBS2	-0.0100643258705597	0.411207575760652
CCND1	0.00608252858367297	0.526370426213792
BCL2A1	0.0522177085497466	0.00287562925864915
RNASE4	-0.0148134597631606	0.23746341785907
RORC	-0.00388536261072669	0.794421796944593
RRM2	0.0584156306850852	0.00707036978998904
S100A9	0.142654276283211	4.77802393216616e-07
S100A12	0.0296362587228485	0.236043638408043
CFB	-0.0106923413492761	0.564233639989785
SERPINB3	0.0544303271905755	0.0211447066500779
SERPINB4	0.167497202347946	0.000289750548897111
CCL18	-0.00884363542843003	0.796446172807753
CCL20	-0.0529438594403153	0.117886794023458
CHP2	0.0455223524506119	0.00570999848697956
SAMSN1	-0.0769624703224312	0.000448225655327354
RTP4	0.0510901661432541	0.00585145452134298
NOD2	-0.00180027105220804	0.886519377707725
CLEC7A	0.00878607148562738	0.584216862099779
HS3ST6	0.00595690030965113	0.794948618727618
GINS3	0.0176817353545702	0.0886466888216886
ANKRD33B	0.0218908135004949	0.195318218259656
SLC5A1	0.0195412627599887	0.205251308999406
PCP4L1	-0.0380415627185799	0.0727467554646567
ZSCAN18	-0.0623193708722538	1.29454561955166e-05
SNTB1	-0.0286083027978212	0.0229638226417395
SOD2	-0.0260515863250848	0.187391296516282
SPRR2A	0.158406942738406	7.27754536043962e-10
SSFA2	0.0245231106160873	0.00292985244333843
STAT1	0.01859961019648	0.113526869179811
AURKA	0.0185845721081517	0.21333476845172
BTC	0.0431304068693019	0.0806104601576696
TCN1	0.0334430375065105	0.295890983809405
TGM1	0.0521772589813065	0.000194637704478489
THRSP	-0.109410725445008	0.0090961926736567
TLE1	-0.0069692967633932	0.329868662633923
TTK	0.00788762800851961	0.745860133034717
TUFT1	0.0206253685074613	0.0111494602004407
UPP1	-0.0775631415598204	0.00167397778784744
WNT5A	-0.012944869374214	0.520331361776846
XDH	-0.00679539022587017	0.66371272975705
ZNF84	-0.0125830479034996	0.189616440337547
ZBTB16	-0.0164251712666594	0.608995896211367
CXCR4	-0.053401347547847	0.00430727957225879
TRAPPC6A	0.0164204008648863	0.0427917106186086
CHAC1	0.00745139418740148	0.697504577951013
GDPD3	0.0241943103381717	0.118884721643591
TMEM43	0.0182407492599057	0.0044611392674189
ZBED2	-0.0637210903401368	0.00317638027653942
PGBD5	-0.0826556787250787	0.000222228708687601
MYH14	0.0161123594789214	0.121700698540784
PLBD1	0.03864780869222	5.43556946763732e-06
TCEAL4	0.0045031747847406	0.356189202808536
JADE1	-0.00631489547825304	0.51315281456794
SCD5	-0.0041513676731082	0.607055503477125
ZC3H12A	-0.02775392512179	0.119869112738592
GAN	0.0503009276798814	0.0210789421153567
FAM117A	-0.00234463088064585	0.825880453228641
CAB39L	-0.00315771713364699	0.818169258025338
NETO2	-0.0312906208875763	0.129452946850361
SOX7	-0.0891746258397332	5.73480166063346e-08
PARP9	0.00405496038189446	0.718113238344923
PRSS27	0.0234805376604315	0.277146797225348
FGFBP2	-0.0322670221741039	0.266653768720725
BCAR3	-0.0237955893909136	0.0859479454497684
SLITRK6	0.0552621803720554	0.00377205426822029
ZNF559	0.00163305559847693	0.916087833355136
AFAP1L2	-0.0208167315726318	0.22085188361875
LCE3D	0.162502584119106	2.29170480994933e-12
RGS20	0.0775043615417355	5.6131837167292e-05
OASL	-0.00106307311699227	0.958772697918406
IRS2	0.00843606747786474	0.282685778901138
SCEL	0.0297406848362183	0.0534805206397715
ASAP2	-0.00377806032264472	0.680637223003155
VNN1	-0.00456042695411485	0.825839207894779
CCNA2	0.0177626289091131	0.35404729362543
CCNB1	0.0333931050005711	0.116872209696225
KYNU	0.00783192459882898	0.629918393000414
TMEM116	0.00253216664834843	0.877504588076681
PAPLN	0.0251740825221773	0.123486952728075
SYT8	0.0425955404646992	0.0139523166974381
CLDN8	-0.0489168491229148	0.0432611851468493
CLDN1	0.0124617334820676	0.149754683949696
INA	0.0523461068014845	0.000218293117840597
RSAD2	-0.0223847576273521	0.439672076509685
BOC	-0.00289655439374048	0.733941557685231
LONRF1	0.014530653658309	0.0916826530612831
AURKB	0.0572411352867253	0.000486497721796212
CDHR1	0.055588479394467	0.000873348090311991
TMPRSS11D	0.0284015643221451	0.182340294545586
FAM189A2	-0.0178269686837691	0.303947314476884
CYP7B1	-0.0265267320847857	0.10933390162798
EPSTI1	-0.0237560953474141	0.187088226652049
ITM2A	0.000790098770969916	0.949922895482001
SPTLC2	-0.0186237611948097	0.0341377091535735
GDA	0.150128450775421	1.96173405150674e-06
ISG15	-0.00947859977234744	0.629980149424944
ARHGEF10	0.00299216480251019	0.764748222066524
GPRASP1	-0.0633854762242128	3.25314520805358e-05
KIAA0101	0.0663921743768574	2.66589973978988e-05
DLGAP5	0.0554553037500898	0.010669739482115
PHYHIP	-0.0143748174225307	0.373863580746958
MELK	0.025566996113473	0.0970556190851559
CDC20	0.0478989787415984	0.0123234620264637
